Type;Date;Time;From_Account;To_Account;From_Amount;From_Amount_LCY;To_Amount;To_Amount_LCY;From_Currency;To_Currency;Payment_type;Payment_Status;Labels;Notes
Transfer;2018-11-19;05:53;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-11-20;07:43;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-11-21;16:06;KB - Personal - účet;CZK;10500.0;10500.0;10500.0;10500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-11-24;21:33;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-11-30;07:00;Allianz - Penzijní pripojištění;KB - Personal - účet;24309.66;24309.66;24309.66;24309.66;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-12-04;10:57;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-12-07;16:43;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-12-08;17:09;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-12-13;19:48;KB - Personal - účet;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-12-26;13:56;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-12-29;14:12;KB - Personal - účet;CZK;200.0;200.0;200.0;200.0;CZK;CZK;Transfer;Cleared;[];
